CustomerID,purchasefrequency,avgpurchasevalue,segment
12346.0,2,0.0,Low Value
12347.0,7,23.681318681318672,Mid Value
12348.0,4,57.97548387096775,Mid Value
12349.0,1,24.076027397260276,Low Value
12350.0,1,19.670588235294115,Low Value
12352.0,11,16.267473684210533,Mid Value
12353.0,1,22.25,Low Value
12354.0,1,18.6103448275862,Low Value
12355.0,1,35.33846153846154,Low Value
12356.0,3,47.6513559322034,Low Value
12357.0,1,47.38679389312978,Low Value
12358.0,2,61.476842105263145,Mid Value
12359.0,6,24.588700787401592,Mid Value
12360.0,3,20.63612403100775,Low Value
12361.0,1,18.990000000000002,Low Value
12362.0,13,18.812335766423374,Mid Value
12363.0,2,24.0,Low Value
12364.0,4,15.448235294117648,Low Value
12365.0,3,13.943043478260865,Low Value
12367.0,1,15.354545454545455,Low Value
12370.0,4,21.231676646706575,Low Value
12371.0,2,29.96761904761905,Low Value
12372.0,3,24.962307692307704,Low Value
12373.0,1,26.04285714285714,Low Value
12374.0,1,22.5130303030303,Low Value
12375.0,3,25.301111111111116,Low Value
12377.0,2,21.144415584415583,Low Value
12378.0,1,18.304200913242013,Low Value
12379.0,3,20.73878048780487,Low Value
12380.0,5,25.910095238095227,Low Value
12381.0,6,19.82373626373627,Mid Value
12383.0,6,18.393099999999997,Mid Value
12384.0,3,18.872000000000003,Low Value
12386.0,2,40.19,Low Value
12388.0,6,27.806600000000003,Mid Value
12390.0,1,17.1825,Low Value
12391.0,1,4.608899999999999,Low Value
12393.0,4,24.728125000000006,Low Value
12394.0,2,47.12888888888889,Low Value
12395.0,15,18.857106918238983,Mid Value
12397.0,2,19.12619047619048,Low Value
12398.0,1,19.243058823529406,Low Value
12399.0,4,18.790677966101693,Low Value
12401.0,1,16.860000000000003,Low Value
12402.0,1,20.509090909090908,Low Value
12403.0,2,68.28333333333335,Mid Value
12405.0,1,31.6738888888889,Low Value
12406.0,3,30.377314814814813,Low Value
12407.0,5,22.18337662337662,Low Value
12408.0,9,25.155486725663728,Mid Value
12409.0,7,96.99061403508772,High Value
12410.0,3,24.324285714285715,Low Value
12412.0,3,20.112786885245896,Low Value
12413.0,5,17.35375,Low Value
12414.0,3,31.244999999999997,Low Value
12415.0,26,159.03014138817468,High Value
12417.0,12,18.074747474747472,Mid Value
12418.0,1,19.664117647058816,Low Value
12420.0,1,20.703103448275865,Low Value
12421.0,5,17.52760869565218,Low Value
12422.0,3,20.60410256410256,Low Value
12423.0,9,14.675476190476191,Mid Value
12424.0,2,58.698666666666654,Mid Value
12425.0,1,21.58888888888889,Low Value
12426.0,1,19.42433333333333,Low Value
12427.0,5,20.23914285714286,Low Value
12428.0,12,26.25733333333335,Mid Value
12429.0,4,38.66391752577321,Low Value
12430.0,1,23.30909090909091,Low Value
12431.0,18,26.73495833333333,Mid Value
12432.0,5,46.845555555555585,Low Value
12433.0,7,31.847309523809503,Mid Value
12434.0,4,14.170185185185183,Low Value
12435.0,2,217.4969444444444,Mid Value
12436.0,1,31.813125000000003,Low Value
12437.0,19,24.361492537313424,Mid Value
12438.0,2,29.661734693877555,Low Value
12441.0,1,15.77727272727273,Low Value
12442.0,1,14.338333333333333,Low Value
12444.0,5,28.27943502824859,Low Value
12445.0,1,33.35,Low Value
12446.0,1,17.281206896551723,Low Value
12447.0,1,18.326538461538465,Low Value
12448.0,1,20.429545454545455,Low Value
12449.0,4,21.29471204188482,Low Value
12450.0,2,24.735,Low Value
12451.0,6,25.164845070422526,Mid Value
12452.0,3,18.633478260869566,Low Value
12453.0,1,16.44395348837209,Low Value
12454.0,2,0.0,Low Value
12455.0,6,27.409555555555528,Mid Value
12456.0,4,24.44875968992246,Low Value
12457.0,12,28.202647058823523,Mid Value
12458.0,2,24.931578947368422,Low Value
12461.0,2,23.625142857142855,Low Value
12462.0,4,15.611249999999997,Low Value
12463.0,7,14.81397727272727,Mid Value
12464.0,8,41.794827586206885,Mid Value
12465.0,3,14.390000000000002,Low Value
12468.0,3,18.101,Low Value
12471.0,49,35.29363465160063,Mid Value
12472.0,13,15.93217391304349,Mid Value
12473.0,9,15.911899441340777,Mid Value
12474.0,30,15.572144420131298,Mid Value
12475.0,1,20.093888888888884,Low Value
12476.0,20,24.797651515151546,Mid Value
12477.0,9,42.5876948051948,Mid Value
12478.0,1,18.916388888888896,Low Value
12479.0,3,13.637142857142859,Low Value
